lookup_url_num,url,source_url,source_offset,source_length,html_node,html_tag,html_left_sibling,html_right_sibling,html_parent
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dfdbb30>,link,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dfdb860>,meta,link,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dfdb950>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dfdbf40>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dfdbf90>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9040>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9090>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff90e0>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9130>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9180>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff91d0>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9220>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9270>,meta,meta,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff92c0>,meta,meta,link,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dff9310>,link,meta,link,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dff9360>,link,link,link,head
